text ,username,timestamp,human_label,,,,,,,,,,,,,,,,,,,
We’re looking for part-time remote assistants. Flexible pay. DM for details.,@jobsbykelly,"May 3, 2025, 10:12 AM",1,,,,,,,,,,,,,,,,,,,
My small consulting team is hiring a virtual scheduler. Message me if you’re interested,@consultlab_co,"Aug 12, 2025, 2:41 PM",1,,,,,,,,,,,,,,,,,,,
"Hiring! Work-from-home proofreading role. No official website yet, DM me.",@typefix_editor,"Jan 17, 2024, 9:55 PM",1,,,,,,,,,,,,,,,,,,,
I need a remote admin assistant for 10 hrs/week. Pay negotiable. DM.,@maria_ops,"Mar 22, 2025, 6:20 PM",1,,,,,,,,,,,,,,,,,,,
Anyone want a part-time gig helping with social media scheduling? Pay per task.,@brandstarter,"Jul 10, 2024, 1:32 PM",1,,,,,,,,,,,,,,,,,,,
We’re expanding our creative team and need a junior designer. Message for JD.,@studio88_create,"Nov 5, 2025, 12:02 PM",1,,,,,,,,,,,,,,,,,,,
Remote customer support role for small e-commerce business. No experience needed. DM.,@shophelperhub,"Sep 7, 2025, 8:03 AM",1,,,,,,,,,,,,,,,,,,,
Looking for researchers to assist with small projects. DM if you have availability.,@researchsidework,"Jun 30, 2025, 5:55 PM",1,,,,,,,,,,,,,,,,,,,
Hiring remote note-takers for online classes. Pay varies per session.,@studyassist_global,"Dec 12, 2024, 3:42 PM",1,,,,,,,,,,,,,,,,,,,
Need someone to help me with inbox management & calendar. DM if organized!,@lifebylina,"Apr 4, 2025, 10:21 AM",1,,,,,,,,,,,,,,,,,,,
Short-term remote transcription gig. Must type fast. DM me for test sample.,@transcribe_daily,"Jan 3, 2025, 11:41 PM",1,,,,,,,,,,,,,,,,,,,
Hiring! Online moderators for a small Discord community. Paid role.,@gametalkcrew,"Sep 19, 2024, 6:55 PM",1,,,,,,,,,,,,,,,,,,,
Looking for someone to help with basic finance spreadsheets. Remote. Message if interested.,@budgetbuddy_team,"Oct 22, 2025, 9:18 AM",1,,,,,,,,,,,,,,,,,,,
My startup is hiring part-time outreach coordinators. Pay via PayPal.,@outreachflow_co,"Feb 18, 2025, 5:10 PM",1,,,,,,,,,,,,,,,,,,,
Anyone want a research assistant role for a personal project? DM for details.,@privateprojectlab,"Dec 2, 2024, 4:03 PM",1,,,,,,,,,,,,,,,,,,,
