No.,text,username,timestamp,URL,Label by Human,Labels
1,"We’re hiring!

Our new resume portal is live, and we’re looking for top talent in NYC to help build this administration and deliver on our affordability agenda.

Could that be you? Apply using the link below.

http://transition2025.com/apply",‪Zohran Kwame Mamdani‬,"November 6, 2025 at 8:36 AM",https://bsky.app/profile/zohrankmamdani.bsky.social/post/3m4xoo3pf4s2r,0,[]
2,ProPublica is hiring a reporter to join our amazing investigative unit with The Texas Tribune. APPLY HERE ➡️ http://propub.li/4qvyjzw,‪Charles Ornstein‬,"November 4, 2025 at 10:51 AM",https://bsky.app/profile/charlesornstein.bsky.social/post/3m4svafd5us2e,0,[]
3,"Are you a social media manager who is passionate about the culture and lives of Texans? 

Our incredible social media manager was recruited for an exciting, glossy new opportunity, which means ...we’re hiring! 

Come work with us at 
@thebarbedwire.com
 💕 

http://www.journalismjobs.com/job-listing/...","Olivia Messer
‪","November 5, 2025 at 2:18 PM",https://bsky.app/profile/oliviamesser.bsky.social/post/3m4vrcfp4z22r,0,[]
4,"Calling all those who want to lead the fight in Texas to reach, register, and turn out the voters who will power Democratic victories up and down the ballot: we are hiring full-time organizers.

For details & how to apply, go to PoweredxPeople.org/Careers

",‪Beto O’Rourke‬,"November 5, 2025 at 4:04 PM",https://bsky.app/profile/betoorourke.bsky.social/post/3m4vx6zg65s27,0,[]
5,"Stars and Stripes, the editorially independent daily newspaper and website covering the U.S. military worldwide, is hiring a U.S. Bureau Chief at its headquarters in Washington, D.C. 🗞️

Interested? Apply here➡️ www.usajobs.gov/job/849430100",‪Stars and Stripes‬,"November 6, 2025 at 11:32 AM
",https://bsky.app/profile/starsandstripes.bsky.social/post/3m4xyigm4nk2b,0,[]
6,"🚀 New Remote Job Alert!
💼 Lettings Administrator
🏢 Harris & Daughter Ltd.
🌍 UK 
📁 Administrative
💰 £20,000 - £25,000
Apply now: www.remotejobshub.app/job/harris-d...",‪RemoteJobsHub.app‬,"November 2, 2025 at 7:45 AM",https://bsky.app/profile/remotejobshub-app.bsky.social/post/3m4njw64d6l2v,1,[]
7,"Persistent Systems Hiring Freshers as Associate Software Engineers in Partnership with Revature – Apply Now Role : Associate Software Engineer Location : WORK FROM HOME/GOA JOB DESCRIPTION: Persistent Systems, a leading global technology solutions company, ",‪Awakari‬,"September 22, 2025 at 7:30 AM",https://bsky.app/profile/bluesky.awakari.com/post/3lzgcnku7z22q,0,[]
8,"🚀 New Remote Job Alert!
💼 Work From Home Booking Coordinator
🏢 Away From Home Travels 2
🌍 UK 
📁 Customer Service
💰 £25,000 - £30,000

Apply now: juniorremotejobs.com/job/away-fro...",‪JuniorRemoteJobs.com‬,"December 24, 2024 at 4:00 PM",https://bsky.app/profile/juniorremotejobs.bsky.social/post/3le3doedry62y,1,[]
9,"Now Hiring: Live Chat Assistant for a Shoe Company – Work from Home! 💻✨
📌 Apply now: bit.ly/NewOnline-Job

Earn $25 - $35 per hour working online from anywhere as a Live Chat Assistant! 🏡🌍",‪Abhaya Arya‬,"March 12, 2025 at 2:21 PM",https://bsky.app/profile/abhayaarya.bsky.social/post/3lk775ccmfs2k,1,[]
10,"NEW JOB! 🌸 

Age Connects Morgannwg is hiring a Connected Communities Programme Manager in Hybrid. Approximately 20% working from home, 80% field and office-based work.

http://www.charityjobfinder.co.uk/job/3458/con...",‪Charity Job Finder‬,"June 2, 2025 at 2:05 PM",https://bsky.app/profile/charityjobfinder.bsky.social/post/3lqnehm4lsa2l,0,[]
11,"Just found a remote job hiring near me, I'd make more than I make where I'm currently at (not by much), get two days off a week, work from home except for some meeting days. It's tempting and I honestly might throw in an application.",‪Austin‬,"March 20, 2025 at 2:14 PM",https://bsky.app/profile/acsnow.bsky.social/post/3lktcipnlvk26,0,[]
12,"🚨 We’re Hiring! Work from Home with Brainbucks 🏠
Perfect for homemakers, students & job seekers.
✅ Flexible programs
✅ Free certifications
✅ Real career growth

📲 Apply now: forms.gle/ZLL1uwAPSKWm...
📞 6301664137",‪@rainbucks_official‬,"May 15, 2025 at 1:58 AM",https://bsky.app/profile/brainbucks.bsky.social/post/3lp6tgw4rik2a,2,[]
13,"🚨 HIRING NOW!
A new opportunity just dropped 👇

Position: Platform Engineer (x/f/m) – Tech Foundations 
 
Find more remote work from home jobs or onsite with great salaries. 

🔗 Apply here: jobsjornal.online/job/platform... 
⏰ Don’t wait — applications may close soon.",‪mabjaia.bsky.social‬,"November 5, 2025 at 2:23 PM",https://bsky.app/profile/mabjaia.bsky.social/post/3m4vrkfc63h2h,2,[]
14,"Starting to get worried about this job search... Anyone know places hiring? Work from home preferably, but anything in Arizona if not. Looking for work in the operations management field. Spreadsheets, reports, data analysis, that sort of thing. Any leads are helpful, so far zero responses.",‪Almeck‬,"February 20, 2025 at 10:21 PM
",https://bsky.app/profile/almeck.bsky.social/post/3lintxtyy4s2i,0,[]
15,"𝙃𝙄𝙍𝙄𝙉𝙂! 𝙃𝙄𝙍𝙄𝙉𝙂!! 𝙃𝙄𝙍𝙄𝙉𝙂!!! 
Currently Conscentrix is offering work from home online job offer. The pay is $25/hr, 8 a.m - 12 p.m or 12 p.m. - 4 p.m. and tallied, total of 40-hours work a week.",‪josebrandon.bsky.social‬,"October 10, 2025 at 7:36 AM",https://bsky.app/profile/josebrandon.bsky.social/post/3m2tle37nzc2a,1,[]
16,"Discover the top work from home jobs for 2025 that are hiring now. These online job ideas are perfect for beginners and pros alike. Work smarter, not harder! 

https://foundersdocs.com/capture/",‪mrcashcash.bsky.social‬,"January 16, 2025 at 5:30 PM",https://bsky.app/profile/mrcashcash.bsky.social/post/3lfvdf6e2372u,2,[]
17,"#Detroit Remote Job Data Entry Clerks. Flexible hours + pay up to $25/hr. Work from home, work on your schedule. #Jobs #Hiring #Career",‪CJ Eason ⭐️ Michigan‬,"August 17, 2025 at 2:17 PM",https://bsky.app/profile/cjeason.bsky.social/post/3lwmikqvk6j2m,1,[]
18,"The Baltimore Banner is hiring a sports reporter who will cover the Orioles with me (yay, come hang), along with some general assignment work.

DM or email me (Andy dot Kostka at thebanner dot com) if you have questions or interest:

http://job-boards.greenhouse.io/thebaltimore...",‪Andy Kostka‬,"October 17, 2025 at 3:53 PM",https://bsky.app/profile/afkostka.bsky.social/post/3m3g2egats22j,0,[]
19,"My team at Plane is hiring experienced full stack engineers. We use Rails, Postgres, Phlex, Vite, TypeScript and Svelte. I don’t have a full job description yet, but drop me a DM if you want to know more.",‪Joel Drapper 🇬🇧🇺🇦‬,"October 1, 2025 at 12:22 PM
",https://bsky.app/profile/joel.drapper.me/post/3m25h4fcnsk2b,0,[]
20,"Want to build visualisations like this with 
@flutter.dev
?
Our Energy Data Team at 1K5° is hiring #FlutterDev Devs who will be responsible building graphics like this one!
Find out more and apply here 👇
1komma5grad.jobs.personio.de/job/1961203

DM me if you have further questions!",Anton,"February 13, 2025 at 5:57 AM
",https://bsky.app/profile/abausg.bsky.social/post/3li2jptqyws2r,0,[]
21,Anyone looking for a job in genomics (Montreal)? I'm hiring a lab tech to shovel RNA and DNA into our very hungry PromethION. DM me if you fit the bill,‪Martin Smith‬,"December 3, 2024 at 2:04 AM",https://bsky.app/profile/martinalexsmith.bsky.social/post/3lcf352kctu2c,0,[]
22,"We're hiring!
Love tech? Love talking about tech? Based in UK&I?
Want to work on cool stuff and with me (debatably the cooler part)?
Join our team: job-boards.greenhouse.io/twilio/jobs/...
DM me for the unofficial scoop.",‪Marius Obert‬,"April 4, 2025 at 11:08 AM",https://bsky.app/profile/iobert.bsky.social/post/3llyp3t4xns2l,0,[]
23,"My team is hiring at Nature Communications! If you're at #AGU24 and would like to chat about what my (great) job is like, please DM me! 

Associate editor (US) - $74k/yr
Senior editor (US) - $91k/yr

http://www.nature.com/naturecareer...","‪Joy Buongiorno, PhD‬","December 11, 2024 at 9:30 AM",https://bsky.app/profile/joybuongiorno.bsky.social/post/3lczxs7saw22q,0,[]
24,"JOB ALERT! My department is hiring an Assistant Prof in Sociology. Area of specialization is open. Feel free to DM me if you have any questions about the position. Deadline is Nov. 20th!

http://jobs.uncw.edu/postings/33746","‪Mary-Collier Wilks, PhD‬","November 15, 2024 at 2:35 PM",https://bsky.app/profile/profmarycollier.bsky.social/post/3laz4pbjxac2c,0,[]
25,"I'm hiring an assistant level communications/marketing position at my day job. If you know anyone who can work hybrid in Oakland, CA and is an excellent copywriter, DM me for more info. I work in mission-driven publishing so an interest in social justice/repro rights is key.",‪Ponderosa | Kim Kuzuri‬,"June 27, 2024 at 3:29 PM",https://bsky.app/profile/ponderosa121.bsky.social/post/3kvwkmifn7c25,0,[]
26,"Our department at the University of Toronto is hiring an assistant professor of sociology of race / ethnicity this fall.

I'm not on the hiring committee but am very happy to talk to you about the position if you are interested. You can email, DM, or find me at ASA.

http://jobs.utoronto.ca/job/Toronto-...",‪Jonathan Horowitz‬,"August 1, 2025 at 8:27 AM",https://bsky.app/profile/jonathanhorowi1.bsky.social/post/3lvdnkvtajs2b,0,[]
27,If you need a job in Miami or you are close I will be hiring for a security $27 a hour for my shop from 9-5 easy money 💕,‪maya‬,"November 19, 2024 at 11:50 PM",https://bsky.app/profile/dxddymayaaa.bsky.social/post/3lbe5mnrwmk2w,2,[]
28,"Job opportunity! We're hiring a Guest Experience Coordinator to provide support to the Foundation’s public education programming, donor education and engagement opportunities, nonprofit training sessions, fee-based clients and convening of partnership cohorts. Learn more and apply today.",The Pittsburgh Foundation,"March 28, 2025 at 11:22 AM",https://bsky.app/profile/pghfoundation.bsky.social/post/3llh4lbgfrk2c,0,[]
29,"Hiring Alert 🚨 Company: Aditya Birla Chemical Post : Supply Chain & Logistics Location : Mumbai Maharashtra Shared By : www.sciencehiring.com Join Us For Daily Science Hiring Alert whatsapp.com/channel/0029... 𝑫𝒐𝒏'𝒕 𝑷𝒂𝒚 𝑨𝒏𝒚 𝑭𝒆𝒆 𝒐𝒓 𝑺𝒖𝒃𝒔𝒄𝒓𝒊𝒑𝒕𝒊𝒐𝒏 𝑭𝒐𝒓 𝑻𝒉𝒆 𝑱𝒐𝒃, 𝑾𝒆 𝒂𝒓𝒆 𝑷𝒐𝒔𝒕𝒊𝒏𝒈 𝑴𝒐𝒏𝒆𝒕𝒂𝒓𝒚 𝑭𝒓𝒆𝒆 𝑱𝒐𝒃𝒔",‪Science Hiring‬,"October 4, 2025 at 7:22 AM",https://bsky.app/profile/sciencehiring.com/post/3m2jsbggbdr2i,0,[]
30,Do you know of a summer internship for 16+ still taking applications? Or a summer workshop or interesting job? I'm helping add to a list for our HS students here in Central Jersey. Link me or drop a message in DM.,‪🏳️‍🌈Gosh Darnit of the New Jersey Darnits😷‬,"March 31, 2025 at 6:18 PM",https://bsky.app/profile/goshdarn.bsky.social/post/3llpf7njid22r,0,[]
31,"⚠️ SOCIAL MEDIA MARKETING INTERNSHIP ⚠️ We're looking for a social media marketing intern to join the team! (Remote, contract 3 months) Pls email your CV to elsethgames(at)gmail(dot)com (don't DM me) Shares appreciated 🥰 ",Elseth Games,"August 13, 2025 at 7:25 AM",https://bsky.app/profile/elsethgames.com/post/3lwbpp6sflc2f,1,[]
32,I have a position open for a summer internship in the department of Discovery Oncology at Genentech! A great opportunity for an early career scientist to do a research project and gain experience in industry. Apply below or DM me if interested.,‪Tonia Hafner‬,"December 1, 2023 at 2:24 AM",https://bsky.app/profile/toniai12.bsky.social/post/3kfhqnnmei32v,0,[]
33,"Imagine filtering hundreds of resumes in minutes. 🤯 An n8n workflow does exactly that. Auto-screen based on job needs & save hours. Focus on candidates, not screening fatigue. DM me = CV I will provide the link",‪Sidj‬,"May 13, 2025 at 11:14 AM",https://bsky.app/profile/sidj79.bsky.social/post/3lp2rkyyock2i,1,[]
34,"Are you well-connected in Marketing, eCommerce, Finance, Real Estate, or Media? Let’s team up! I can help your network access affordable global talent recruitment solutions. If this sounds like a win, DM me—let’s make it happen! 🚀",‪Adomas Pranevicius‬,"November 20, 2024 at 7:13 AM",https://bsky.app/profile/apranevicius.bsky.social/post/3lbewetld3s2p,1,[]
35,"Anyways, my publicist/editor-in-chief is looking for an executive assistant. If you are in Atlanta and you want to work under a publicist to have a start in the fashion/entertainment industry and you live in Atlanta, we are hiring. DM me for more info. This position is paid, part-time, and hybrid.",‪SHOOT THE CLUB UP‬,"October 16, 2025 at 11:32 AM",https://bsky.app/profile/sirvonchilds.bsky.social/post/3m3d3cuf4lk2i,0,[]
36,"The college where I work is hiring a new Alternative Formats manager. If any of y'all work in accessibility, are familiar w/ alt formats, want to join an awesome team & get paid *much more money* than me, drop me a dm & I'll forward the posting to you when we get it. The job is (mostly?) remote.",‪Botticellibelle‬,"March 18, 2025 at 3:01 PM",https://bsky.app/profile/botticellibelle.bsky.social/post/3lkoe5eaux22w,2,[]
37,"We will probably also be hiring general product and infrastructure engineering as well soon - so if any of this sounds cool, feel free to send me a DM.

FWIW, this is the most interesting job I've ever had, and the most fun team I've ever been on.",‪Maggie Johnson-Pint‬,"December 3, 2024 at 7:58 PM",https://bsky.app/profile/maggie.bsky.social/post/3lcgx6hf7x22r,1,[]
38,"I could put in a word for you at my job, working remotely at a queer clinic and genuinely really love the work we do someone just left the department I work in, and I know we're hiring for other departments. send me a DM if you want more info (I'd rather not post about my workplace on my furry bsky)",‪¢a$h monk€¥‬,"July 27, 2025 at 5:05 PM",https://bsky.app/profile/crittersweet.space/post/3luxy6r6tzs23,1,[]
39,"Are you on the job market? Our department at the University of Waterloo is hiring for multiple tenure track positions in CS, please apply here! Feel free to DM me with questions. cs.uwaterloo.ca/tenure-track...",‪Victor Zhong‬,"November 23, 2024 at 9:36 AM",https://bsky.app/profile/vzhong.bsky.social/post/3lbmppktabk2w,0,[]
40,"Our department is hiring! Assoc. or Full professor of Journalism. See our job ad here:

osu.wd1.myworkdayjobs.com/OSUCareers/j...

Feel free to DM me with questions. Ohio State and the School of Communication is a great place to work. High quality people and high quality research. Please share!",‪Hillary Shulman‬,"September 1, 2025 at 1:38 PM",https://bsky.app/profile/hcshulman.bsky.social/post/3lxs5ge2m3k22,0,[]
